Item Code;Item Name;set/20;out/20;nov/20;dez/20;jan/21;fev/21;mar/21;abr/21;mai/21;jun/21;jul/21;ago/21;set/21;out/21;nov/21;dez/21;jan/22;fev/22;mar/22;abr/22;mai/22;jun/22;jul/22;ago/22;set/22
500550;item 1; $711.766 ; $733.480 ; $666.115 ; $673.894 ; $701.181 ; $739.330 ; $668.889 ; $660.478 ; $702.593 ; $738.500 ; $686.679 ; $740.279 ; $697.498 ; $710.059 ; $741.673 ; $697.939 ; $676.514 ; $738.450 ; $711.835 ; $666.629 ; $680.773 ; $711.824 ; $692.380 ; $685.079 ; $657.886 
500061;item 2; $461.200 ; $461.200 ; $649.200 ; $589.000 ; $938.600 ; $930.400 ; $210.400 ; $578.800 ; $1.163.600 ; $841.000 ; $606.400 ; $926.200 ; $617.500 ; $679.940 ; $715.000 ; $715.000 ; $825.000 ; $715.000 ; $715.000 ; $715.000 ; $715.000 ; $-   ; $-   ; $-   ; $-   
500552;item 3;;;;;;;;;;;;;;;; $720.000 ; $611.000 ; $708.000 ; $708.000 ; $611.000 ; $611.000 ; $611.000 ; $611.000 ; $611.000 ; $611.000 
500106;item 4; $475.200 ; $475.200 ; $418.000 ; $511.200 ; $682.400 ; $908.400 ; $225.200 ; $499.200 ; $1.058.400 ; $758.800 ; $492.800 ; $1.023.300 ; $682.200 ; $780.000 ; $600.000 ; $610.000 ; $800.000 ; $770.000 ; $810.000 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500551;item 5; $316.800 ; $316.800 ; $573.600 ; $460.800 ; $385.800 ; $735.600 ; $666.000 ; $675.600 ; $634.800 ; $651.000 ; $322.200 ; $361.200 ; $750.000 ; $666.000 ; $377.700 ; $630.000 ; $666.000 ; $666.000 ; $666.000 ; $503.500 ; $503.500 ; $503.500 ; $503.500 ; $503.500 ; $503.500 
500012;item 6; $521.800 ; $521.800 ; $289.000 ; $547.400 ; $681.800 ; $780.800 ; $521.000 ; $579.800 ; $579.000 ; $670.600 ; $519.800 ; $424.500 ; $522.900 ; $560.000 ; $405.000 ; $517.500 ; $750.000 ; $530.000 ; $575.000 ; $575.000 ; $575.000 ; $575.000 ; $575.000 ; $575.000 ; $575.000 
500533;item 7; $354.000 ; $354.000 ; $756.000 ; $308.400 ; $594.000 ; $829.200 ; $741.600 ; $542.400 ; $548.400 ; $644.400 ; $417.600 ; $490.300 ; $861.300 ; $283.200 ; $567.000 ; $277.600 ; $594.000 ; $829.200 ; $741.600 ; $380.000 ; $380.000 ; $650.000 ; $500.000 ; $450.000 ; $700.000 
500062;item 8; $726.000 ; $726.000 ; $304.600 ; $678.800 ; $601.000 ; $654.400 ; $561.000 ; $621.800 ; $545.200 ; $648.400 ; $357.400 ; $871.000 ; $580.700 ; $520.000 ; $400.000 ; $635.400 ; $486.800 ; $548.800 ; $570.000 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500285;item 9; $178.000 ; $178.000 ; $540.900 ; $421.600 ; $402.400 ; $677.200 ; $455.600 ; $562.800 ; $432.600 ; $545.800 ; $286.200 ; $677.800 ; $451.900 ; $270.000 ; $300.000 ; $500.000 ; $500.000 ; $600.000 ; $1.200.000 ; $-   ; $-   ; $-   ; $-   ; $-   ; $-   
500069;item 10; $204.800 ; $204.800 ; $407.400 ; $306.600 ; $230.800 ; $425.600 ; $483.800 ; $258.400 ; $348.400 ; $466.000 ; $354.200 ; $282.700 ; $552.700 ; $204.800 ; $407.400 ; $380.600 ; $346.000 ; $519.000 ; $415.200 ; $259.500 ; $259.500 ; $371.000 ; $388.200 ; $256.800 ; $449.200 
